,sentence,tokens,labels
10,curious product recommended amazon numerous sites hg tinted mineral sunscreen .,"['curious', 'product', 'recommended', 'amazon', 'numerous', 'sites', 'hg', 'tinted', 'mineral', 'sunscreen', '.']","['O', 'O', 'O', 'B_BR', 'O', 'O', 'B_BR', 'B_PT', 'I_PT', 'I_PT', 'O']"
11,price incredibly affordable formula amazing .,"['price', 'incredibly', 'affordable', 'formula', 'amazing', '.']","['O', 'O', 'B-PE-POS', 'O', 'O', 'O']"
12,didnt work searching mineral face sunscreen amazon product always popping .,"['didnt', 'work', 'searching', 'mineral', 'face', 'sunscreen', 'amazon', 'product', 'always', 'popping', '.']","['O', 'O', 'O', 'B_PT', 'I_PT', 'I_PT', 'B_BR', 'O', 'O', 'O', 'O']"
13,research done company claim high spf ppd rating used european standards test better us .,"['research', 'done', 'company', 'claim', 'high', 'spf', 'ppd', 'rating', 'used', 'european', 'standards', 'test', 'better', 'us', '.']","['O', 'O', 'O', 'O', 'B-EF-POS', 'I-EF-POS', 'I-EF-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,around sterling protection factor spf 50 ppd 19.2 pa. need sunscreen protect skin hyperpigmentation dark spots entering 5th decade unhappy consequence tanning beds sunbathing youth .,"['around', 'sterling', 'protection', 'factor', 'spf', '50', 'ppd', '19.2', 'pa.', 'need', 'sunscreen', 'protect', 'skin', 'hyperpigmentation', 'dark', 'spots', 'entering', '5th', 'decade', 'unhappy', 'consequence', 'tanning', 'beds', 'sunbathing', 'youth', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,waging war uv rays im determined win.the product priced 1016 makes affordable considering generous 3 oz tube .,"['waging', 'war', 'uv', 'rays', 'im', 'determined', 'win.the', 'product', 'priced', '1016', 'makes', 'affordable', 'considering', 'generous', '3', 'oz', 'tube', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PE-POS', 'O', 'O', 'O', 'O', 'O', 'O']"
16,available amazon well us drugstores .,"['available', 'amazon', 'well', 'us', 'drugstores', '.']","['O', 'B_BR', 'O', 'O', 'O', 'O']"
17,blurs fine lines wrinkles tint coverage enough smooth complexion not heavy applied thickly sunscreens require 14 teaspoon face alone .,"['blurs', 'fine', 'lines', 'wrinkles', 'tint', 'coverage', 'enough', 'smooth', 'complexion', 'not', 'heavy', 'applied', 'thickly', 'sunscreens', 'require', '14', 'teaspoon', 'face', 'alone', '.']","['B-EF-POS', 'I-EF-POS', 'I-EF-POS', 'I-EF-POS', 'B-AP-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,light feather super easy spread .,"['light', 'feather', 'super', 'easy', 'spread', '.']","['B-TX-POS', 'I-TX-POS', 'B-EF-POS', 'I-EF-POS', 'I-EF-POS', 'O']"
19,color neutral neutral undertone medium mac nc 30 summer winter mac nw 25 get golden yellow tanits unicorn product matte not greasy no white cast works primer gives finished lowmaintenance makeup free kind look .,"['color', 'neutral', 'neutral', 'undertone', 'medium', 'mac', 'nc', '30', 'summer', 'winter', 'mac', 'nw', '25', 'get', 'golden', 'yellow', 'tanits', 'unicorn', 'product', 'matte', 'not', 'greasy', 'no', 'white', 'cast', 'works', 'primer', 'gives', 'finished', 'lowmaintenance', 'makeup', 'free', 'kind', 'look', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AP-POS', 'I-AP-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,everything would want mineral sunscreen care absorption nasty chemicals cosmetically elegant high sun protective qualities.why not work makes look paperydry even drops squalene oil hyaluronic essence cosrx others advised not oily complexion .,"['everything', 'would', 'want', 'mineral', 'sunscreen', 'care', 'absorption', 'nasty', 'chemicals', 'cosmetically', 'elegant', 'high', 'sun', 'protective', 'qualities.why', 'not', 'work', 'makes', 'look', 'paperydry', 'even', 'drops', 'squalene', 'oil', 'hyaluronic', 'essence', 'cosrx', 'others', 'advised', 'not', 'oily', 'complexion', '.']","['O', 'O', 'O', 'B_PT', 'I_PT', 'O', 'B-AB-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HY-NEG', 'O', 'O', 'B_IN', 'I_IN', 'B_IN', 'O', 'O', 'O', 'O', 'O', 'B-TX-NEG', 'I-TX-NEG', 'O']"
21,used natural formulas beeswax hard get one japanese milk formulas .,"['used', 'natural', 'formulas', 'beeswax', 'hard', 'get', 'one', 'japanese', 'milk', 'formulas', '.']","['O', 'O', 'O', 'B_IN', 'O', 'O', 'O', 'O', 'B_IN', 'O', 'O']"
22,youre going need double cleanse oil balm first use jojoba virgin coconut oil regular foaming cleanser bar soap kind cloth scrubber use makeup eraser cloth micro fiber cloth .,"['youre', 'going', 'need', 'double', 'cleanse', 'oil', 'balm', 'first', 'use', 'jojoba', 'virgin', 'coconut', 'oil', 'regular', 'foaming', 'cleanser', 'bar', 'soap', 'kind', 'cloth', 'scrubber', 'use', 'makeup', 'eraser', 'cloth', 'micro', 'fiber', 'cloth', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'I_IN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,pulling tugging raw experience.if oily skin younger beach situation things slide face soon sweat .,"['pulling', 'tugging', 'raw', 'experience.if', 'oily', 'skin', 'younger', 'beach', 'situation', 'things', 'slide', 'face', 'soon', 'sweat', '.']","['O', 'O', 'O', 'O', 'B-TX-NEG', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O']"
24,outdoor activities exercising running summer heat day beach amusement park .,"['outdoor', 'activities', 'exercising', 'running', 'summer', 'heat', 'day', 'beach', 'amusement', 'park', '.']","['O', 'O', 'O', 'O', 'B_SW', 'O', 'O', 'O', 'O', 'O', 'O']"
25,daily sunscreen bit tenacious formula .,"['daily', 'sunscreen', 'bit', 'tenacious', 'formula', '.']","['O', 'B_PT', 'O', 'O', 'O', 'O']"
26,time around read reviews also looking sunscreen approved certain places caribbean due ingredients .,"['time', 'around', 'read', 'reviews', 'also', 'looking', 'sunscreen', 'approved', 'certain', 'places', 'caribbean', 'due', 'ingredients', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,saw sun bum recommended cruiser facebook group purchased give try.we not sun worshippers needed sunscreen could keep us burning 1 1.5 hours sun time .,"['saw', 'sun', 'bum', 'recommended', 'cruiser', 'facebook', 'group', 'purchased', 'give', 'try.we', 'not', 'sun', 'worshippers', 'needed', 'sunscreen', 'could', 'keep', 'us', 'burning', '1', '1.5', 'hours', 'sun', 'time', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,fantastic without reapply also smell great .,"['fantastic', 'without', 'reapply', 'also', 'smell', 'great', '.']","['O', 'O', 'O', 'O', 'B-SC-POS', 'O', 'O']"
29,dont love many sunscreen smells definitely pleasant .,"['dont', 'love', 'many', 'sunscreen', 'smells', 'definitely', 'pleasant', '.']","['O', 'O', 'O', 'B_PT', 'B-SC-POS', 'O', 'O', 'O']"
30,used regularly 7day cruise still brought home .,"['used', 'regularly', '7day', 'cruise', 'still', 'brought', 'home', '.']","['B-QU-POS', 'I-QU-POS', 'O', 'O', 'O', 'O', 'O', 'O']"
31,highly recommend definitely purchase cruising summertime local pool nowhere near strength sun caribbean .,"['highly', 'recommend', 'definitely', 'purchase', 'cruising', 'summertime', 'local', 'pool', 'nowhere', 'near', 'strength', 'sun', 'caribbean', '.']","['O', 'O', 'O', 'O', 'O', 'B_SW', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,worked well no sunburns,"['worked', 'well', 'no', 'sunburns']","['B-EF-POS', 'I-EF-POS', 'O', 'O']"
33,using sun bum original spf 50 sunscreen face lotion year not recommend enough .,"['using', 'sun', 'bum', 'original', 'spf', '50', 'sunscreen', 'face', 'lotion', 'year', 'not', 'recommend', 'enough', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'B_PT', 'B_PT', 'O', 'O', 'O', 'O', 'O']"
34,sunscreen fantastic sensitive skin not cause irritation breakouts common concern many people .,"['sunscreen', 'fantastic', 'sensitive', 'skin', 'not', 'cause', 'irritation', 'breakouts', 'common', 'concern', 'many', 'people', '.']","['B_PT', 'O', 'B-SE-POS', 'B_BP', 'O', 'O', 'B-SE-POS', 'I-SE-POS', 'O', 'O', 'O', 'O', 'O']"
35,formula lightweight absorbs quickly providing excellent protection harmful uv rays without feeling greasy heavy skin.additionally appreciate pleasant scent enhances overall experience applying sunscreen .,"['formula', 'lightweight', 'absorbs', 'quickly', 'providing', 'excellent', 'protection', 'harmful', 'uv', 'rays', 'without', 'feeling', 'greasy', 'heavy', 'skin.additionally', 'appreciate', 'pleasant', 'scent', 'enhances', 'overall', 'experience', 'applying', 'sunscreen', '.']","['O', 'B-TX-POS', 'B-AB-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TX-POS', 'O', 'O', 'O', 'O', 'B-SC-POS', 'O', 'O', 'O', 'O', 'B_PT', 'O']"
36,feel confident knowing skin wellprotected enjoying outdoor activities .,"['feel', 'confident', 'knowing', 'skin', 'wellprotected', 'enjoying', 'outdoor', 'activities', '.']","['O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O']"
37,sensitive skin looking reliable sunscreen look no perfect sunscreen sensitive skin,"['sensitive', 'skin', 'looking', 'reliable', 'sunscreen', 'look', 'no', 'perfect', 'sunscreen', 'sensitive', 'skin']","['B-SE-POS', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'B_PT', 'B-SE-POS', 'O']"
38,start saying used traditional nonmineral sunscreens tend buy physicalmineralbased sunscreens im going tropical ocean need something reefsafe though kids sunscreens shifting mineralbased .,"['start', 'saying', 'used', 'traditional', 'nonmineral', 'sunscreens', 'tend', 'buy', 'physicalmineralbased', 'sunscreens', 'im', 'going', 'tropical', 'ocean', 'need', 'something', 'reefsafe', 'though', 'kids', 'sunscreens', 'shifting', 'mineralbased', '.']","['O', 'O', 'O', 'O', 'B_IN', 'B_PT', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'B_IN', 'O']"
39,brought used three types thinksport sunscreen thinksport kids lotion yelloworange teal squeeze bottle thinksport adult lotion black white orange squeeze bottle thinksport adult spray black white orange spray bottle .,"['brought', 'used', 'three', 'types', 'thinksport', 'sunscreen', 'thinksport', 'kids', 'lotion', 'yelloworange', 'teal', 'squeeze', 'bottle', 'thinksport', 'adult', 'lotion', 'black', 'white', 'orange', 'squeeze', 'bottle', 'thinksport', 'adult', 'spray', 'black', 'white', 'orange', 'spray', 'bottle', '.']","['O', 'O', 'O', 'O', 'B_BR', 'B_PT', 'B_BR', 'B_PT', 'I_PT', 'O', 'O', 'B-PK-POS', 'I-PK-POS', 'B_BR', 'B_PT', 'I_PT', 'O', 'O', 'O', 'B-PK-POS', 'I-PK-POS', 'I-PK-POS', 'B_PT', 'I_PT', 'O', 'O', 'O', 'O', 'O', 'O']"
40,protected us sunburn rubbed invisible long skin dry free visible hair visible whiteness persisted around husbands facial stubble chest hair .,"['protected', 'us', 'sunburn', 'rubbed', 'invisible', 'long', 'skin', 'dry', 'free', 'visible', 'hair', 'visible', 'whiteness', 'persisted', 'around', 'husbands', 'facial', 'stubble', 'chest', 'hair', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'B-TX-POS', 'I-TX-POS', 'O', 'O', 'B-TX-NEG', 'I-TX-NEG', 'O', 'O', 'O', 'B_BP', 'I_BP', 'B_BP', 'I_BP', 'O']"
41,difference kids lotion versus adult lotion scentthe kids version fruitier tropical nottoostrong scent possibly coconut something else hard identify found unobjectionable though one kids wasnt fan adult lotion lighter less sweet citrusy scent son though maybe lime mint im not sure thats accurate love .,"['difference', 'kids', 'lotion', 'versus', 'adult', 'lotion', 'scentthe', 'kids', 'version', 'fruitier', 'tropical', 'nottoostrong', 'scent', 'possibly', 'coconut', 'something', 'else', 'hard', 'identify', 'found', 'unobjectionable', 'though', 'one', 'kids', 'wasnt', 'fan', 'adult', 'lotion', 'lighter', 'less', 'sweet', 'citrusy', 'scent', 'son', 'though', 'maybe', 'lime', 'mint', 'im', 'not', 'sure', 'thats', 'accurate', 'love', '.']","['O', 'B_PT', 'I_PT', 'O', 'B_PT', 'I_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SC-POS', 'O', 'B_IN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'I_PT', 'B-TX-POS', 'O', 'B-SC-POS', 'I-SC-POS', 'I-SC-POS', 'O', 'O', 'O', 'B-SC-POS', 'I-SC-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,adult spray no discernible scent suspect kids spray might fairly unscented well .,"['adult', 'spray', 'no', 'discernible', 'scent', 'suspect', 'kids', 'spray', 'might', 'fairly', 'unscented', 'well', '.']","['B_PT', 'I_PT', 'O', 'B-SC-POS', 'I-SC-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,invisibility harder get second third application skin damp allinall found three thinksport products superior mineralbased sunscreens tried past .,"['invisibility', 'harder', 'get', 'second', 'third', 'application', 'skin', 'damp', 'allinall', 'found', 'three', 'thinksport', 'products', 'superior', 'mineralbased', 'sunscreens', 'tried', 'past', '.']","['B-AP-NEG', 'I-AP-NEG', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EF-POS', 'B_IN', 'B_PT', 'O', 'O', 'O']"
44,great reefsafe easytoapply sunscreen comparison three thinksport products,"['great', 'reefsafe', 'easytoapply', 'sunscreen', 'comparison', 'three', 'thinksport', 'products']","['O', 'B-EF-POS', 'I-EF-POS', 'B_PT', 'O', 'O', 'B_BR', 'O']"
45,guy want simple nongreasy every day sunscreen gives bit moisturizing well .,"['guy', 'want', 'simple', 'nongreasy', 'every', 'day', 'sunscreen', 'gives', 'bit', 'moisturizing', 'well', '.']","['O', 'O', 'O', 'B-TX-POS', 'O', 'O', 'B_PT', 'O', 'O', 'B-EF-POS', 'I-EF-POS', 'O']"
46,used spf 30 70 line cant say notice difference .,"['used', 'spf', '30', '70', 'line', 'cant', 'say', 'notice', 'difference', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EF-NEG', 'I-EF-NEG', 'O']"
47,work great easy use dont leave face looking shiny like suncreens .,"['work', 'great', 'easy', 'use', 'dont', 'leave', 'face', 'looking', 'shiny', 'like', 'suncreens', '.']","['O', 'O', 'B-EF-POS', 'I-EF-POS', 'O', 'O', 'B_BP', 'O', 'B-TX-POS', 'O', 'B_PT', 'O']"
48,simply put great every day sunscreen face .,"['simply', 'put', 'great', 'every', 'day', 'sunscreen', 'face', '.']","['O', 'O', 'O', 'O', 'O', 'B_PT', 'B_BP', 'O']"
49,decided buy sunscreen last one bought left white cast face read reviews not .,"['decided', 'buy', 'sunscreen', 'last', 'one', 'bought', 'left', 'white', 'cast', 'face', 'read', 'reviews', 'not', '.']","['O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'B-TX-NEG', 'I-TX-NEG', 'B_BP', 'O', 'O', 'O', 'O']"
50,glad say sunscreen not leave white cast ive using say mostly like sunscreen.pros not leave cast pretty good coverage .,"['glad', 'say', 'sunscreen', 'not', 'leave', 'white', 'cast', 'ive', 'using', 'say', 'mostly', 'like', 'sunscreen.pros', 'not', 'leave', 'cast', 'pretty', 'good', 'coverage', '.']","['O', 'O', 'B_PT', 'O', 'O', 'B-TX-POS', 'I-TX-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TX-POS', 'O', 'O', 'B-EF-POS', 'O']"
51,would say slightly thicker side .,"['would', 'say', 'slightly', 'thicker', 'side', '.']","['O', 'O', 'O', 'B-TX-NEG', 'O', 'O']"
52,doesnt make shiny.cons pills dont move fast enough .,"['doesnt', 'make', 'shiny.cons', 'pills', 'dont', 'move', 'fast', 'enough', '.']","['O', 'O', 'O', 'O', 'O', 'B-EF-NEG', 'I-EF-NEG', 'O', 'O']"
53,maybe im not waiting long enough putting moisturizer dont spread stuff fast evenly enough im stuck brushing little sunscreen balls face .,"['maybe', 'im', 'not', 'waiting', 'long', 'enough', 'putting', 'moisturizer', 'dont', 'spread', 'stuff', 'fast', 'evenly', 'enough', 'im', 'stuck', 'brushing', 'little', 'sunscreen', 'balls', 'face', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'B-EF-NEG', 'O', 'O', 'O', 'O', 'O', 'B-EF-NEG', 'I-EF-NEG', 'O', 'B_PT', 'O', 'O', 'O']"
54,ever slightly stings face drier sensitive skin.i see lot comments say layers well makeup .,"['ever', 'slightly', 'stings', 'face', 'drier', 'sensitive', 'skin.i', 'see', 'lot', 'comments', 'say', 'layers', 'well', 'makeup', '.']","['O', 'O', 'O', 'B_BP', 'B-HY-NEG', 'B-SE-NEG', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
55,dont really wear notice sunscreen isnt obvious throughout day .,"['dont', 'really', 'wear', 'notice', 'sunscreen', 'isnt', 'obvious', 'throughout', 'day', '.']","['O', 'O', 'O', 'O', 'B_PT', 'O', 'B-EF-NEG', 'I-EF-NEG', 'I-EF-NEG', 'O']"
56,man careful type creams .,"['man', 'careful', 'type', 'creams', '.']","['O', 'O', 'O', 'B_PT', 'O']"
57,mild product blends well natural skin .,"['mild', 'product', 'blends', 'well', 'natural', 'skin', '.']","['O', 'O', 'B-AB-POS', 'O', 'B-VP-POS', 'B_BP', 'O']"
58,slightly smooths natural skin wont appear like youre wearing make like products .,"['slightly', 'smooths', 'natural', 'skin', 'wont', 'appear', 'like', 'youre', 'wearing', 'make', 'like', 'products', '.']","['O', 'B-EF-POS', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
59,also sensitive eyes product doesnt cause irritation .,"['also', 'sensitive', 'eyes', 'product', 'doesnt', 'cause', 'irritation', '.']","['O', 'B-SE-POS', 'B_BP', 'O', 'O', 'O', 'B-SE-POS', 'O']"
60,sun protection great .,"['sun', 'protection', 'great', '.']","['B-EF-POS', 'I-EF-POS', 'O', 'O']"
61,expensive may worth cutting product open empty .,"['expensive', 'may', 'worth', 'cutting', 'product', 'open', 'empty', '.']","['B-PE-NEG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
62,love intellishade .,"['love', 'intellishade', '.']","['O', 'B_BR', 'O']"
63,dermatologist client sent sample tube year ago love combination fact 45 spf not 10 15 spf ridiculous standard spf face moisturizers tinted enough foundation tone not need apply foundation .,"['dermatologist', 'client', 'sent', 'sample', 'tube', 'year', 'ago', 'love', 'combination', 'fact', '45', 'spf', 'not', '10', '15', 'spf', 'ridiculous', 'standard', 'spf', 'face', 'moisturizers', 'tinted', 'enough', 'foundation', 'tone', 'not', 'need', 'apply', 'foundation', '.']","['O', 'O', 'O', 'O', 'B-PK-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'I_PT', 'B-AP-NEU', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
64,protecting skin sun crucial yet dont give greasy sunscreen lotions.so second bottle even price outside comfort level feel entirely worth .,"['protecting', 'skin', 'sun', 'crucial', 'yet', 'dont', 'give', 'greasy', 'sunscreen', 'lotions.so', 'second', 'bottle', 'even', 'price', 'outside', 'comfort', 'level', 'feel', 'entirely', 'worth', '.']","['O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'B-TX-POS', 'B_PT', 'O', 'O', 'B-PK-POS', 'O', 'B-PE-POS', 'O', 'O', 'O', 'O', 'O', 'B-PE-POS', 'O']"
65,product quality high ingredients approved endorsed dermatologist friend trust .,"['product', 'quality', 'high', 'ingredients', 'approved', 'endorsed', 'dermatologist', 'friend', 'trust', '.']","['B_PT', 'O', 'O', 'B_IN', 'O', 'O', 'O', 'O', 'O', 'O']"
66,skin loves product .,"['skin', 'loves', 'product', '.']","['B_BP', 'O', 'B_PT', 'O']"
67,wee bit oily normal skin applies nicely gives skin silky smooth effect .,"['wee', 'bit', 'oily', 'normal', 'skin', 'applies', 'nicely', 'gives', 'skin', 'silky', 'smooth', 'effect', '.']","['O', 'O', 'B-TX-NEG', 'O', 'B_BP', 'O', 'O', 'O', 'B_BP', 'B-TX-POS', 'I-TX-POS', 'O', 'O']"
68,add organic mineral powder foundation little blush im donelove love intellishade happy see available amazon best compromise wearing enough sunscreen protect pretty face sun damage still looking great fantastic product worth every penny,"['add', 'organic', 'mineral', 'powder', 'foundation', 'little', 'blush', 'im', 'donelove', 'love', 'intellishade', 'happy', 'see', 'available', 'amazon', 'best', 'compromise', 'wearing', 'enough', 'sunscreen', 'protect', 'pretty', 'face', 'sun', 'damage', 'still', 'looking', 'great', 'fantastic', 'product', 'worth', 'every', 'penny']","['O', 'B_IN', 'I_IN', 'I_IN', 'B_PT', 'O', 'B_PT', 'O', 'O', 'O', 'B_BR', 'O', 'O', 'O', 'B_BR', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PE-POS', 'O', 'O']"
69,pretty amazing .,"['pretty', 'amazing', '.']","['B-EF-POS', 'I-EF-POS', 'O']"
70,read reviews dermatologists amazon reviews thought would give try .,"['read', 'reviews', 'dermatologists', 'amazon', 'reviews', 'thought', 'would', 'give', 'try', '.']","['O', 'O', 'O', 'B_BR', 'O', 'O', 'O', 'O', 'O', 'O']"
71,skin especially face allergic everything days .,"['skin', 'especially', 'face', 'allergic', 'everything', 'days', '.']","['B_BP', 'O', 'B_BP', 'B-SE-NEG', 'O', 'O', 'O']"
72,60s hesitant try anything tint usually showcases fine lines aka wrinkles .,"['60s', 'hesitant', 'try', 'anything', 'tint', 'usually', 'showcases', 'fine', 'lines', 'aka', 'wrinkles', '.']","['O', 'O', 'O', 'O', 'B-AP-NEU', 'O', 'O', 'O', 'O', 'O', 'I-VP-NEG', 'O']"
73,one doesnt feels good put blends nicely fair skin dark spots wrinkles .,"['one', 'doesnt', 'feels', 'good', 'put', 'blends', 'nicely', 'fair', 'skin', 'dark', 'spots', 'wrinkles', '.']","['O', 'O', 'O', 'O', 'O', 'B-AB-POS', 'O', 'B-AP-POS', 'B_BP', 'B-AP-POS', 'I-AP-POS', 'I-AP-POS', 'O']"
74,far good soothing face tint doesnt get stuck fine lines great sun screen,"['far', 'good', 'soothing', 'face', 'tint', 'doesnt', 'get', 'stuck', 'fine', 'lines', 'great', 'sun', 'screen']","['O', 'O', 'B-EF-POS', 'B_BP', 'B-AP-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'I_PT']"
75,years ive used elta md tinted sunscreen .,"['years', 'ive', 'used', 'elta', 'md', 'tinted', 'sunscreen', '.']","['O', 'O', 'O', 'B_BR', 'I_BR', 'B_PT', 'I_PT', 'O']"
76,highly recomend product youre looking mouse like consistency goes smoothly evenly perfect base makeup needs .,"['highly', 'recomend', 'product', 'youre', 'looking', 'mouse', 'like', 'consistency', 'goes', 'smoothly', 'evenly', 'perfect', 'base', 'makeup', 'needs', '.']","['O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'B-TX-POS', 'O', 'B-TX-POS', 'O', 'O', 'O', 'O', 'O', 'O']"
